# MEMORY_TILE_MODULE / EVENT/MISC
# 10 register(s)
#
# Format: NAME @ OFFSET [WIDTH TYPE reset=VALUE] "DESCRIPTION"
#   BITS    FIELD_NAME                   TYPE  "DESCRIPTION"

  18      DMA_MM2S_Sel0_stream_backpressure rw  "1=Event contributes to group event"
  17      DMA_S2MM_Sel1_stream_starvation rw  "1=Event contributes to group event"
  16      DMA_S2MM_Sel0_stream_starvation rw  "1=Event contributes to group event"
  15      DMA_MM2S_Sel1_stalled_lock_acquire rw  "1=Event contributes to group event"
  14      DMA_MM2S_Sel0_stalled_lock_acquire rw  "1=Event contributes to group event"
  13      DMA_S2MM_Sel1_stalled_lock_acquire rw  "1=Event contributes to group event"
  12      DMA_S2MM_Sel0_stalled_lock_acquire rw  "1=Event contributes to group event"
  11      DMA_MM2S_Sel1_finished_task  rw  "1=Event contributes to group event"
  10      DMA_MM2S_Sel0_finished_task  rw  "1=Event contributes to group event"
  9       DMA_S2MM_Sel1_finished_task  rw  "1=Event contributes to group event"
  8       DMA_S2MM_Sel0_finished_task  rw  "1=Event contributes to group event"
  7       DMA_MM2S_Sel1_finished_BD    rw  "1=Event contributes to group event"
  6       DMA_MM2S_Sel0_finished_BD    rw  "1=Event contributes to group event"
  5       DMA_S2MM_Sel1_finished_BD    rw  "1=Event contributes to group event"
  4       DMA_S2MM_Sel0_finished_BD    rw  "1=Event contributes to group event"
  3       DMA_MM2S_Sel1_start_task     rw  "1=Event contributes to group event"
  2       DMA_MM2S_Sel0_start_task     rw  "1=Event contributes to group event"
  1       DMA_S2MM_Sel1_start_task     rw  "1=Event contributes to group event"
  0       DMA_S2MM_Sel0_start_task     rw  "1=Event contributes to group event"

Event_Group_Lock_Enable @ 0x000009450C [32 rw reset=0xFFFFFFFF] "Event enable for Lock Group"
  31      Lock_Sel7_equal_to_value     rw  "1=Event contributes to group event"
  30      Lock_Sel7_rel                rw  "1=Event contributes to group event"
  29      Lock_Sel7_acq_ge             rw  "1=Event contributes to group event"
  28      Lock_Sel7_acq_eq             rw  "1=Event contributes to group event"
  27      Lock_Sel6_equal_to_value     rw  "1=Event contributes to group event"
  26      Lock_Sel6_rel                rw  "1=Event contributes to group event"
  25      Lock_Sel6_acq_ge             rw  "1=Event contributes to group event"
  24      Lock_Sel6_acq_eq             rw  "1=Event contributes to group event"
  23      Lock_Sel5_equal_to_value     rw  "1=Event contributes to group event"
  22      Lock_Sel5_rel                rw  "1=Event contributes to group event"
  21      Lock_Sel5_acq_ge             rw  "1=Event contributes to group event"
  20      Lock_Sel5_acq_eq             rw  "1=Event contributes to group event"
  19      Lock_Sel4_equal_to_value     rw  "1=Event contributes to group event"
  18      Lock_Sel4_rel                rw  "1=Event contributes to group event"
  17      Lock_Sel4_acq_ge             rw  "1=Event contributes to group event"
  16      Lock_Sel4_acq_eq             rw  "1=Event contributes to group event"
  15      Lock_Sel3_equal_to_value     rw  "1=Event contributes to group event"
  14      Lock_Sel3_rel                rw  "1=Event contributes to group event"
  13      Lock_Sel3_acq_ge             rw  "1=Event contributes to group event"
  12      Lock_Sel3_acq_eq             rw  "1=Event contributes to group event"
  11      Lock_Sel2_equal_to_value     rw  "1=Event contributes to group event"
  10      Lock_Sel2_rel                rw  "1=Event contributes to group event"
  9       Lock_Sel2_acq_ge             rw  "1=Event contributes to group event"
  8       Lock_Sel2_acq_eq             rw  "1=Event contributes to group event"
  7       Lock_Sel1_equal_to_value     rw  "1=Event contributes to group event"
  6       Lock_Sel1_rel                rw  "1=Event contributes to group event"
  5       Lock_Sel1_acq_ge             rw  "1=Event contributes to group event"
  4       Lock_Sel1_acq_eq             rw  "1=Event contributes to group event"
  3       Lock_Sel0_equal_to_value     rw  "1=Event contributes to group event"
  2       Lock_Sel0_rel                rw  "1=Event contributes to group event"
  1       Lock_Sel0_acq_ge             rw  "1=Event contributes to group event"
  0       Lock_Sel0_acq_eq             rw  "1=Event contributes to group event"

Event_Group_Stream_Switch_Enable @ 0x0000094510 [32 rw reset=0xFFFFFFFF] "Event enable for Stream Switch Group"
  31      Port_TLAST_7                 rw  "1=Event contributes to group event"
  30      Port_Stalled_7               rw  "1=Event contributes to group event"
  29      Port_Running_7               rw  "1=Event contributes to group event"
  28      Port_Idle_7                  rw  "1=Event contributes to group event"
  27      Port_TLAST_6                 rw  "1=Event contributes to group event"
  26      Port_Stalled_6               rw  "1=Event contributes to group event"
  25      Port_Running_6               rw  "1=Event contributes to group event"
  24      Port_Idle_6                  rw  "1=Event contributes to group event"
  23      Port_TLAST_5                 rw  "1=Event contributes to group event"
  22      Port_Stalled_5               rw  "1=Event contributes to group event"
  21      Port_Running_5               rw  "1=Event contributes to group event"
  20      Port_Idle_5                  rw  "1=Event contributes to group event"
  19      Port_TLAST_4                 rw  "1=Event contributes to group event"
  18      Port_Stalled_4               rw  "1=Event contributes to group event"
  17      Port_Running_4               rw  "1=Event contributes to group event"
  16      Port_Idle_4                  rw  "1=Event contributes to group event"
  15      Port_TLAST_3                 rw  "1=Event contributes to group event"
  14      Port_Stalled_3               rw  "1=Event contributes to group event"
  13      Port_Running_3               rw  "1=Event contributes to group event"
  12      Port_Idle_3                  rw  "1=Event contributes to group event"
  11      Port_TLAST_2                 rw  "1=Event contributes to group event"
  10      Port_Stalled_2               rw  "1=Event contributes to group event"
  9       Port_Running_2               rw  "1=Event contributes to group event"
  8       Port_Idle_2                  rw  "1=Event contributes to group event"
  7       Port_TLAST_1                 rw  "1=Event contributes to group event"
  6       Port_Stalled_1               rw  "1=Event contributes to group event"
  5       Port_Running_1               rw  "1=Event contributes to group event"
  4       Port_Idle_1                  rw  "1=Event contributes to group event"
  3       Port_TLAST_0                 rw  "1=Event contributes to group event"
  2       Port_Stalled_0               rw  "1=Event contributes to group event"
  1       Port_Running_0               rw  "1=Event contributes to group event"
  0       Port_Idle_0                  rw  "1=Event contributes to group event"

Event_Group_Memory_Conflict_Enable @ 0x0000094514 [32 rw reset=0x0000FFFF] "Event enable for Memory Conflict Group"
  15      Conflict_DM_Bank_15          rw  "1=Event contributes to group event"
  14      Conflict_DM_Bank_14          rw  "1=Event contributes to group event"
  13      Conflict_DM_Bank_13          rw  "1=Event contributes to group event"
  12      Conflict_DM_Bank_12          rw  "1=Event contributes to group event"
  11      Conflict_DM_Bank_11          rw  "1=Event contributes to group event"
  10      Conflict_DM_Bank_10          rw  "1=Event contributes to group event"
  9       Conflict_DM_Bank_9           rw  "1=Event contributes to group event"
  8       Conflict_DM_Bank_8           rw  "1=Event contributes to group event"
  7       Conflict_DM_Bank_7           rw  "1=Event contributes to group event"
  6       Conflict_DM_Bank_6           rw  "1=Event contributes to group event"
  5       Conflict_DM_Bank_5           rw  "1=Event contributes to group event"
  4       Conflict_DM_Bank_4           rw  "1=Event contributes to group event"
  3       Conflict_DM_Bank_3           rw  "1=Event contributes to group event"
  2       Conflict_DM_Bank_2           rw  "1=Event contributes to group event"
  1       Conflict_DM_Bank_1           rw  "1=Event contributes to group event"
  0       Conflict_DM_Bank_0           rw  "1=Event contributes to group event"

Event_Group_Error_Enable @ 0x0000094518 [32 rw reset=0x00000FFF] "Event enable for Error Group"
  11      DMA_Task_Token_Stall         rw  "1=Event contributes to group event"
  10      Lock_Error                   rw  "1=Event contributes to group event"
  9       AXI_MM_Slave_Error           rw  "1=Event contributes to group event"
  8       Control_Pkt_Error            rw  "1=Event contributes to group event"
  7       Stream_Pkt_Parity_Error      rw  "1=Event contributes to group event"
  6       Stream_Switch_Port_Parity_Error rw  "1=Event contributes to group event"
  5       DMA_MM2S_Error               rw  "1=Event contributes to group event"
  4       DMA_S2MM_Error               rw  "1=Event contributes to group event"
  3       DM_ECC_Error_2bit            rw  "1=Event contributes to group event"
  2       DM_ECC_Error_1bit            rw  "1=Event contributes to group event"
  1       DM_ECC_Error_Scrub_2bit      rw  "1=Event contributes to group event"
  0       DM_ECC_Error_Scrub_Corrected rw  "1=Event contributes to group event"

Event_Group_Broadcast_Enable @ 0x000009451C [32 rw reset=0x0000FFFF] "Event enable for Broadcast Group"
  15      Broadcast_A_15               rw  "1=Event contributes to group event"
  14      Broadcast_A_14               rw  "1=Event contributes to group event"
  13      Broadcast_A_13               rw  "1=Event contributes to group event"
  12      Broadcast_A_12               rw  "1=Event contributes to group event"
  11      Broadcast_A_11               rw  "1=Event contributes to group event"
  10      Broadcast_A_10               rw  "1=Event contributes to group event"
  9       Broadcast_A_9                rw  "1=Event contributes to group event"
  8       Broadcast_A_8                rw  "1=Event contributes to group event"
  7       Broadcast_A_7                rw  "1=Event contributes to group event"
  6       Broadcast_A_6                rw  "1=Event contributes to group event"
  5       Broadcast_A_5                rw  "1=Event contributes to group event"
  4       Broadcast_A_4                rw  "1=Event contributes to group event"
  3       Broadcast_A_3                rw  "1=Event contributes to group event"
  2       Broadcast_A_2                rw  "1=Event contributes to group event"
  1       Broadcast_A_1                rw  "1=Event contributes to group event"
  0       Broadcast_A_0                rw  "1=Event contributes to group event"

Event_Group_User_Event_Enable @ 0x0000094520 [32 rw reset=0x00000003] "Event enable for User Group"
  1       User_Event_1                 rw  "1=Event contributes to group event"
  0       User_Event_0                 rw  "1=Event contributes to group event"
